2023-03-13 21:08:29.505 | INFO     | __main__:build_marked_params:84 - end pics cos1678712909/DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_1678712906/end.png
2023-03-13 21:08:29.506 | INFO     | scripts.cv.video_frame_util:video_to_frames_with_ffmpeg:39 - start video to frames
2023-03-13 21:08:29.506 | INFO     | scripts.cv.video_frame_util:video_to_frames_with_ffmpeg:49 - ffmpeg -i cos1678712909/DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_1678712906/com.apple.DocumentsApp_DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_2_0.mp4  -r 25  -q:v 2 -f image2   cos1678712909/DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_1678712906/frames_start/%08d.png
2023-03-13 21:08:30.850 | INFO     | scripts.cv.video_frame_util:video_to_frames_with_ffmpeg:56 - end video to frames
2023-03-13 21:08:30.851 | INFO     | scripts.cv.video_frame_util:video_to_frames_with_ffmpeg:39 - start video to frames
2023-03-13 21:08:30.851 | INFO     | scripts.cv.video_frame_util:video_to_frames_with_ffmpeg:49 - ffmpeg -i cos1678712909/DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_1678712906/com.apple.DocumentsApp_DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_2_0.mp4  -r 25  -q:v 2 -f image2   cos1678712909/DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_1678712906/frames_end/%08d.png
2023-03-13 21:08:32.171 | INFO     | scripts.cv.video_frame_util:video_to_frames_with_ffmpeg:56 - end video to frames
2023-03-13 21:08:32.172 | INFO     | scripts.cv.cv_calculate:cv_analyse:36 - cv_analyse 一共 365 个视频帧画面
2023-03-13 21:08:32.173 | INFO     | scripts.marked.marked_calculate:__get_file_list:51 - 一共 365 个视频帧画面
2023-03-13 21:08:32.173 | INFO     | scripts.marked.marked_calculate:__run_search:79 - 目标帧：cos1678712909/DocumentOpenFileOfficeTests_testDocumentOpenFileoffice1mWordTimeConsuming_1678712906/start.png
2023-03-13 21:08:32.556 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980107545852661 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:32.850 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980525374412537 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:33.140 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980595707893372 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:33.431 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980636835098267 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:33.718 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980642199516296 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:33.991 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980642199516296 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:34.258 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980642199516296 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:34.529 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980655908584595 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:34.803 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980655908584595 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:35.090 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980648756027222 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:35.372 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980648756027222 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:35.640 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980635046958923 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:35.896 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980648756027222 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:36.160 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980648756027222 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:36.414 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980635046958923 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:36.679 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980635046958923 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:36.941 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980643391609192 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:37.211 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980635046958923 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:37.464 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980692267417908 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:37.716 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980692267417908 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:37.974 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998070478439331 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:38.223 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:38.461 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:38.711 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:38.949 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:39.225 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:39.523 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:39.849 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:40.127 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:40.390 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:40.671 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:40.964 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980692863464355 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:41.258 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:41.525 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:41.776 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.044 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.306 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.563 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.828 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.082 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.358 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.640 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980679154396057 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.915 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.181 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980690479278564 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.457 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980683922767639 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.715 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980690479278564 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.989 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:45.283 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:45.550 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:45.819 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:46.075 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:46.326 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980692863464355 位置 (260, 890) 缩放类型 none 缩放比例 1
